Y,DATETIME,TOTAL_DL
2015,2015/11/10,81366293.05
2015,2015/11/11,81821619.4
2015,2015/11/12,81767660
2015,2015/11/13,82039834.14
2015,2015/11/14,81792124.05
2015,2015/11/15,79969103.8
2015,2015/11/16,76173994.09
2015,2015/11/17,79036438.71
2015,2015/11/18,80716637.27
2015,2015/11/19,80999805.79
2015,2015/11/20,80959751.83
2015,2015/11/21,80935516.26
2015,2015/11/22,79403024.27
2015,2015/11/23,75404667.2
2015,2015/11/24,78830531.02
2015,2015/11/25,79110922.97
2015,2015/11/26,80020525.23
2015,2015/11/27,80570183.45
2015,2015/11/28,81053423.85
2015,2015/11/29,78697254.48
2015,2015/11/30,75506341.79
2015,2015/12/1,78484537.79
2015,2015/12/2,78426677.5
2015,2015/12/3,79580552.46
2015,2015/12/4,79939643.05
2015,2015/12/5,81043754.19
2015,2015/12/6,80130867.75
2015,2015/12/7,77558949.78
2015,2015/12/8,81087154.84
2015,2015/12/9,79428964.77
2015,2015/12/10,77757762.95
2015,2015/12/11,77251506.17
2015,2015/12/12,77729750.06
2015,2015/12/13,75814682.74
2015,2015/12/14,72849429.55
2015,2015/12/15,77096958.05
2015,2015/12/16,77427354.77
2015,2015/12/17,76319081.01
2015,2015/12/18,76708436.57
2015,2015/12/19,76817102.02
2015,2015/12/20,78437510.4
2015,2015/12/21,77286963.18
2015,2015/12/22,82013488.4
2015,2015/12/23,82287292.58
2015,2015/12/24,82536545.43
2015,2015/12/25,82439234.43
2015,2015/12/26,82262158.82
2015,2015/12/27,80157128.33
2015,2015/12/28,77695442.1
2015,2015/12/29,81972773.27
2015,2015/12/30,81452249.57
2015,2015/12/31,80651529.21
2016,2016/1/1,79897544.28
2016,2016/1/2,68070877.44
2016,2016/1/3,70916639.32
2016,2016/1/4,73939719.45
2016,2016/1/5,77459877.2
2016,2016/1/6,79864503.58
2016,2016/1/7,80824221.02
2016,2016/1/8,80767919.44
2016,2016/1/9,81836758.53
2016,2016/1/10,78937051.36
2016,2016/1/11,76432937.02
2016,2016/1/12,79699826.57
2016,2016/1/13,80708116.7
2016,2016/1/14,80869250.17
2016,2016/1/15,79848975.44
2016,2016/1/16,78239122.78
2016,2016/1/17,75665827.96
2016,2016/1/18,73288573.8
2016,2016/1/19,77407720.28
2016,2016/1/20,77955494.51
2016,2016/1/21,77033252.8
2016,2016/1/22,74202043.61
2016,2016/1/23,70404681.87
